season,posteam,primary_qb_id,primary_qb_name,primary_starts,first_start_week,is_primary_season_starter
2022,CIN,00-0036442,J.Burrow,19,1,True
2022,CLE,00-0033119,J.Brissett,11,1,True
2022,DAL,00-0033077,D.Prescott,14,1,True
2022,DEN,00-0029263,R.Wilson,15,1,True
2022,DET,00-0033106,J.Goff,17,1,True
2022,GB,00-0023459,A.Rodgers,17,1,True
2022,HOU,00-0036898,D.Mills,15,1,True
2022,IND,00-0026143,M.Ryan,12,1,True
2022,JAX,00-0036971,T.Lawrence,19,1,True
2022,KC,00-0033873,P.Mahomes,20,1,True
2022,LA,00-0026498,M.Stafford,9,1,True
2022,LAC,00-0036355,J.Herbert,18,1,True
2022,LV,00-0031280,D.Carr,15,1,True
2022,MIA,00-0036212,T.Tagovailoa,12,1,True
2022,MIN,00-0029604,K.Cousins,18,1,True
2022,NE,00-0036972,M.Jones,13,1,True
