season,posteam,qb_id,qb_name,games,plays,actual_pass_rate,expected_pass_rate,proe
2022,WAS,00-0037077,S.Howell,1,61,0.4098360655737705,0.5290730309779527,-11.923696540418218
2022,MIA,00-0031237,T.Bridgewater,1,44,0.4772727272727273,0.6041567047888582,-12.688397751613097
2022,TEN,00-0033949,J.Dobbs,2,135,0.5675616197183099,0.7035361398782083,-13.597452015989841
2022,ATL,00-0038122,D.Ridder,4,260,0.5147394977903452,0.6517323752716175,-13.699287748127224
2022,BAL,00-0035993,T.Huntley,5,259,0.4834458171280408,0.6216030031625471,-13.815718603450625
2022,ATL,00-0032268,M.Mariota,13,718,0.4739676231462954,0.6136372650643582,-13.966964191806284
2022,CHI,00-0036945,J.Fields,15,857,0.5091440997117781,0.650187327814317,-14.104322810253898
2022,CAR,00-0034869,S.Darnold,6,354,0.44883359564254827,0.590305603504158,-14.14720078616097
2022,CAR,00-0033275,P.Walker,5,239,0.46628642283727934,0.6121979248899795,-14.591150205270015
2022,LA,00-0035939,B.Perkins,1,53,0.5471698113207547,0.7017832522122365,-15.461344089148179
2022,CHI,00-0032156,T.Siemian,1,55,0.509090909090909,0.6748528569936753,-16.576194790276613
2022,TEN,00-0038128,M.Willis,3,159,0.39935436417129777,0.6689379349317642,-26.95835707604664
2022,SF,00-0037012,T.Lance,2,82,0.35373134328358213,0.6522129775353925,-29.848163425181042
2023,NYJ,00-0023459,A.Rodgers,1,3,0.6666666666666666,0.4362193743387858,23.044729232788086
2023,CIN,00-0036442,J.Burrow,10,565,0.7074480037373039,0.6116704780186141,9.577752571868986
2023,MIN,00-0038598,J.Hall,2,34,0.6515151515151515,0.5769916900405379,7.452346147461371
2023,CAR,00-0027973,A.Dalton,1,73,0.821917808219178,0.7510445536407706,7.08732545784075
2023,KC,00-0033873,P.Mahomes,20,1224,0.6744144121411408,0.6037880401439443,7.062637199719648
2023,WAS,00-0037077,S.Howell,17,1004,0.6922135466396421,0.6371489258043381,5.506462083530399
2023,CLE,00-0026158,J.Flacco,6,397,0.6541900434440507,0.6142349102226005,3.9955133221450296
2023,MIN,00-0029604,K.Cousins,8,474,0.669354839833058,0.632435045900482,3.6919793932576033
